cytoband	10q26.3	9p21.3	1p36.23	11p15.5	3q29	6q26	8q24.3	10q23.31	17q11.2	4q35.2	13q14.3	13q14.2	4q34.3	6p25.3	13q34	19q13.32	19q13.43	2q37.1	2q37.3	1q42.12	9p24.2	10p11.23	14q31.1	21q21.1	1p32.3	1q44	5q15	2q36.3	7p22.3	
						STX11	CYP11B1									FLT3LG	CD22	RAMP1	LRRFIP1	KCNH1	TMEM261	MPP7	GCH1	ANKRD20A11P	BSND	ZBTB18	F2RL1	ZFP36L2	CDK5	
						SYNJ2	CYP11B2									FOSB	CD33	STK25	GPR55	KCNK1	UHRF2	ENKUR	GMFB	MIRLET7C	RAD54L	SPHAR	F2RL2	BUB1	CDK6	
						LATS1	ADAM3A									FPR1	SIGLEC6	COPS8	ECEL1	KCNK2	C9orf66	ARMC3	GPX2	MIR125B2	PIK3R3	CAPN9	FBN2	CACNB4	CFTR	
						QKI	DECR1									FPR2	CD37	CAPN10	EIF4E2	LAMB3	KIAA2026	OTUD1	GSTZ1	MIR99A	MKNK1	SDCCAG8	FER	CAD	CHN2	
						WTAP	DEFA1									FPR3	CD79A	PASK	HDAC4	LBR	KCNV2	WAC-AS1	GTF2A1	MGC39584	PLPP3	COG2	FOXD1	CALM2	CHRM2	
						AKAP12	DEFA3									FTL	ADGRE5	ATG4B	FARP2	LGALS8	GLIS3	ZNF438	BRF1	MIR663A	ZFYVE9	RBM34	GDF9	CAPG	AP1S1	
						UST	DEFA5									FUT1	CDKN2D	SH3BP4	ARL4C	MARK1	VLDLR-AS1	NSUN6	HIF1A	RNA5-8S5	TMEM59	ABCB10	GFRA3	CASP8	CLCN1	
						PDE10A	DEFB4A									FUT2	CEACAM5	NGEF	RAMP1	CD46	PLPP6	ARL5B	HSPA2	RNA18S5	EFCAB14	OPN3	GLRX	CASP10	CLK2P1	
						RAB32	DPYS									GIPR	CEBPA	SNED1	NMUR1	MDM4	MIR101-2	PTF1A	HSP90AA1	RNA28S5	TSPAN1	TRIM58	GTF2H2	CCNT2	COL1A2	
						KATNA1	DPYSL2									GPR4	CEBPG	GIGYF2	STK25	MTR	FAM138A	C10orf67	IFI27	TEKT4P2	PDZK1IP1	AHCTF1	GZMA	CD8A	CPA1	
						FGFR1OP	DUSP4									GPR32	CGB3	TRAF3IP1	COPS8	NEK2	FAM138C	MKX	ITPK1	MIR548X	PATJ	OR1C1	GZMK	CD8B	CPA2	
						SCAF8	E2F5									GRIN2D	CEACAM3	ANO7	CAPN10	NID1	WASH1	C10orf126	JAG2	MIR3118-1	LRRC41	OR2M4	HEXB	CD28	CLDN4	
						TAB2	EEF1D									ARHGAP35	CEACAM7	PRLH	SP140	NVL	DDX11L5	MALRD1	KLC1	MIR3156-3	FAF1	OR2L2	HINT1	CENPA	CLDN3	
						SASH1	EGR3									GYS1	CEACAM8	THAP4	PASK	CDK18	MIR1302-2	EBLN1	KTN1	MIR3687-1	TTC39A	OR2L1P	HMGCR	CHN1	CRHR2	
						SYNE1	EIF4EBP1									HAS1	CEACAM4	ANKMY1	ATG4B	PFKFB2	MIR1302-9	PTCHD3	LGALS3	MIR3648-1	ZCCHC11	OR2T1	HSD17B4	CHRNA1	CUX1	
						MTHFD1L	DMTN									FOXA3	TBCB	SCLY	SH3BP4	PIGR	MIR1302-10	C10orf113	LTBP2	LINC01549	USP24	TAF5L	HSPA4	CHRND	CYP3A7	
						IPCEF1	EPHX2									HRC	CKM	ASB1	NGEF	PLXNA2	MIR1302-11	SKIDA1	MARK3	LOC100507412	ITGB3BP	DISC2	HSPA9	CHRNG	CYP3A4	
						TIAM2	EXT1									PRMT1	AP2S1	UGT1A10	SNORD82	PPP2R5A	MIR4665	LINC00202-1	MAX	RNA45S5	SSBP3	DISC1	HTR1A	CLK1	CYP3A5	
						LINC01558	EXTL3									IL11	CLC	UGT1A8	SNED1	PROX1	PGM5P3-AS1	LRRC37A6P	ATXN3	SAMSN1-AS1	PARS2	DESI2	IL3	CNGA3	CYP51A1	
						FBXO5	EYA1									IRF3	CLPTM1	UGT1A7	GIGYF2	PSEN2	LINC01231	CASC10	MAP3K9	MIR548XHG	ACOT11	SCCPDH	IL4	COL3A1	DGKB	
						RGS17	FABP4									KCNA7	CNN1	UGT1A6	TRAF3IP1	PTPN14	RFX3-AS1	LINC00264	ALDH6A1	C21orf140	RNF11	TRIM17	IL5	COL4A3	DDC	
						DLL1	FABP5									KCNC3	COMP	UGT1A5	ANO7	RAB4A	CDC37L1-AS1	SVILP1	MNAT1	MIR6724-1	FOXD3	ARID4B	IL6ST	COL4A4	DFNA5	
						MRPL18	PTK2B									KCNJ14	COX6B1	UGT1A9	PRLH	RBBP5	PTPRD-AS1	MIR603	MTHFD1	MIR8069-1	ANGPTL3	EGLN1	IL9	COL5A2	DLD	
						CLDN20	FDFT1									KIR2DL1	COX7A1	UGT1A4	THAP4	RYR2	LINC01230	MIR604	NDUFB1	LOC102723360	ALG6	MAP10	IL13	COL6A3	DLX5	
						NOX3	FGFR1									KIR2DL2	CRX	UGT1A1	ANKMY1	SRP9	LOC105375972	GOLGA2P6	SIX6	KCNE1B	TXNDC12	KIF26B	IRF1	COX5B	DLX6	
						TFB1M	FGL1									KIR2DL3	NCAN	UGT1A3	SCLY	AURKAPS1		LINC00202-2	OTX2	SMIM11B	MRPL37	HEATR1	ISL1	CPS1	DYNC1I1	
						SNX9	FNTA									KIR2DL4	CYP2A6	ATG16L1	ASB1	TARBP1		MIR938	SERPINA5	LOC102724188	HOOK1	ZNF692	ITGA1	CREB1	DPP6	
						MPC1	ADAM2									KIR2DS1	CYP2A7	USP40	CAB39	CNTN2		NEBL-AS1	PGF	LOC102724219	HSPB11	NUP133	ITGA2	ATF2	SLC26A3	
						UNC93A	GATA4									KIR2DS3	CYP2A13	HJURP	UGT1A10	TBCE		GPR158-AS1	SERPINA1	LOC102724354	CMPK1	ERO1B	KCNN2	CRYBA2	EGFR	
						MTRF1L	GEM									KIR2DS4	CYP2B6	HES6	UGT1A8	TGFB2		LOC100130992	SERPINA4	LOC102724428	YIPF1	FMN2	KIF2A	CRYGA	ELN	
						RMND1	GFRA2									KIR2DS5	CYP2B7P	ACKR3	UGT1A7	LEFTY2		MIR1915	PIGH	U2AF1L5	SPATA6	ZNF695	TNPO1	CRYGB	EN2	
						PHF10	GLI4									KIR3DL1	CYP2F1	RNPEPL1	UGT1A6	TLR5		LOC100499489	PPM1A	LOC102724652	L1TD1	GJC2	LECT2	CRYGC	EPHA1	
						ERMARD	GML									KIR3DL2	DBP	GAL3ST2	UGT1A5	GPR137B		LINC00837	PPP2R5C	LOC102724843	C1orf123	SIPA1L2	LMNB1	CRYGD	EPHB4	
						AGPAT4	GNRH1									KIR3DS1	DHPS	RAB17	UGT1A9	TP53BP2		COMMD3-BMI1	PPP2R5E	MIR6724-2	TTC22	ZP4	LNPEP	CTLA4	EPHB6	
						TULP4	NPBWR1									KLK1	DMPK	COPS7B	UGT1A4	TRAF5		MIR1254-2	PRKCH	MIR6724-3	ECHDC2	RHOU	LOX	CTNNA2	EPO	
						PLEKHG1	GPR20									KLK2	DMWD	TRPM8	UGT1A1	TSNAX		MIR4675	LGMN	LOC105372833	FGGY	TFB2M	CD180	CYP1B1	ERV3-1	
						ARID1B	GPT									LAIR1	DNASE2	MLPH	UGT1A3	USH2A		ARMC4P1	PSEN1	LOC105379511	POMGNT1	GREM2	SMAD5	CYP27A1	ETV1	
						TMEM181	GRINA									LAIR2	DNM2	IQCA1	ATG16L1	WNT9A		LOC101928834	PSMA3	LOC105379514	NDC1	SMYD3	MAN2A1	DARS	EVX1	
						ZBTB2	GSR									LHB	DNMT1	C2orf54	USP40	SLC30A1		LINC01516	PSMC1	FRGCA	CACHD1	ARV1	MAP1B	DBI	EZH2	
						SMOC2	GTF2E2									LIG1	ECH1	EFHD1	HJURP	HIST3H3		LINC00836	ABCD4		DMRTB1	C1orf35	MCC	DCTN1	FLNC	
						ULBP3	HAS2									LIM2	MEGF8	ILKAP	HES6	GNPAT		LOC101929073	RAD51B		DMRTA2	TTC13	MEF2C	DDX1	GARS	
						ARMT1	NRG1									BCAM	ELAVL3	ING5	ACKR3	DYRK3		LOC101929117	MOK		ATPAF1	PGBD5	MAP3K1	DES	GBAS	
						ZDHHC14	HNF4G									MYBPC2	EMP3	MGC16025	RNPEPL1	CDC42BPA		MKX-AS1	ARID4A		COA7	ZNF669	MOCS2	DGUOK	GBX1	
						ADGB	HSF1									NDUFA3	EPOR	LOC93463	GAL3ST2	DEGS1		LINC01517	RTN1		DLEU2L	ZNF672	MSH3	DHFRP3	GCK	
						FRMD1	IKBKB									NKG7	NR2F6	AGAP1	RAB17	RAB29		LOC101929279	SEL1L		BEND5	PCNX2	NAIP	DLX1	GHRHR	
						AGPAT4-IT1	IL7									CNOT3	ERCC1	TWIST2	COPS7B	TAF1A		MIR8086	SRSF5		ZYG11B	SH3BP5L	NDUFS4	DLX2	GLI3	
						LINC00574	IMPA1									NOVA2	ERCC2	DIS3L2	TRPM8	FCMR		MIR7162	SIX1		TM2D1	OR2L5	NEUROG1	DNAH6	GNA12	
						CCDC170	IDO1									NPAS1	ERF	NEU4	MLPH	MAPKAPK2		SVIL-AS1	SLC8A3		EFCAB7	OR2G3	NPY6R	DYNC1I2	GNAI1	
						MYCT1	EIF3E									NTF4	FBL	MTERF4	IQCA1	GGPS1		LOC105376468	SLC10A1		FOXD2-AS1	OR2G2	PAM	DNMT3A	GNB2	
						ULBP2	KCNQ3									NUCB1	ETFB	UBE2F	C2orf54	IKBKE		LOC105376480	SNAPC1		AGBL4	OR2C3	PCSK1	DOK1	GNG11	
						ULBP1	KCNS2									PEG3	ETV2	OTOS	ARMC9	TMEM63A		SNORD130	SPTB		ATG4C	TRIM11	PDE4D	DPP4	GNGT1	
						LPAL2	LOXL2									POLD1	FARSA	COPS9	EFHD1	TOMM20			TGFB3		PRPF38A	SPRTN	PGGT1B	DTNB	GPR22	
						PPP1R14C	LPL									PPP2R1A	FCAR	OR6B3	ILKAP	URB2			TNFAIP2		DOCK7	OBSCN	PIK3R1	DTYMK	GPER1	
						SF3B5	LY6E									PPP5C	FCGRT	LOC150935	ITM2C	TMCC2			TRAF3		BTF3L4	NTPCR	PITX1	DUSP2	GPR37	
						RSPH3	LY6H									PRKCG	FKBP1AP1	LINC01107	ING5	LPGAT1			TSHR		KTI12	EFCAB2	PMCHL2	E2F6	GRB10	
						TTLL2	LYN									PRRG2	FLT3LG	LOC151174	MGC16025	BPNT1			VRK1		MYSM1	MLK4	PPIC	EEF1B2	GRM3	
						FBXO30	MATN2									KLK7	FOSB	ERFE	B3GNT7	LRRN2			WARS		OSBPL9	ZNF496	PPP2CA	EGR4	GRM8	
						FAM120B	MCM4									KLK6	FPR1	MSL3P1	SP140L	LEFTY1			XRCC3		OMA1	C1orf198	RAD17	EMX1	GTF2I	
						FNDC1	MMP16									KLK10	FPR2	TIGD1	LOC93463	SPHAR			YY1		LRRC42	WNT3A	RASA1	EN1	GTF2IP1	
						LRP11	MOS									PTGIR	FPR3	LOC200772	AGAP1	CAPN9			ZBTB25		DMBX1	HIST3H2A	RASGRF2	EPAS1	GUSB	
						SERAC1	MSR1									PTPRH	FTL	RTP5	TWIST2	IL24			DPF3		TCEANC2	ZNF670	RPS23	EPHA4	HGF	
						PPIL4	MSRA									PVR	FUT1	LOC285095	DIS3L2	DUSP10			GPR68		PODN	NLRP3	SKP1	ERBB4	HIP1	
						LINC00473	MYBL1									NECTIN2	FUT2	DUSP28	NEU4	COG2			TCL1A		C1orf87	COX20	SLC12A2	ERCC3	MNX1	
						SYTL3	MYC									RELB	GCDH	MROH2A	SPATA3	RBM34			GPR65		UBE2U	CCSAP	SLC22A4	FABP1	HNRNPA2B1	
						SFT2D1	NBN									RPL18	GIPR	ESPNL	MTERF4	NFASC			NUMB		KNCN	OR2M5	SLC22A5	ACSL3	HOXA1	
						GINM1	NDUFB9									RPL28	GPI	ECEL1P2	UBE2F	FBXO28			ADAM21		MOB3C	OR2M3	SMN1	FAP	HOXA2	
						TAGAP	NEFM									RPS9	GPR4	RBM44	OTOS	SRGAP2			ADAM20		GLIS1	OR2T12	SMN2	EFEMP1	HOXA3	
						STXBP5	NEFL									RPS11	GPR32	AQP12A	COPS9	ABCB10			ADAM6		CYP4Z2P	OR14C36	SNX2	FHL2	HOXA4	
						PACRG	TONSL									RRAS	FFAR1	KLHL30	OR6B3	DSTYK			DLK1		SLC25A3P1	OR2T34	SPOCK1	FKBP1B	HOXA5	
						RAET1E	NKX3-1									RTN2	FFAR3	C2orf82	LOC150935	RAB3GAP2			CCNK		LEXM	OR2T10	SRP19	FN1	HOXA6	
						CNKSR3	NOV									CLEC11A	FFAR2	OR6B2	LINC01107	INTS7			DCAF5		KANK4	OR2T4	TAF9	FOSL2	HOXA7	
						RAET1L	ODF1									SEPW1	GRIK5	ASB18	LOC151174	NSL1			ALKBH1		LINC00466	OR2T11	TBCA	FRZB	HOXA9	
						PNLDC1	TNFRSF11B									SLC1A5	GRIN2D	FLJ43879	ERFE	RPS6KC1			EIF2B2		C1orf168	OR2B11	TCF7	FSHR	HOXA10	
						LOC154449	OPRK1									SLC8A2	ARHGAP35	MIR149	LOC151475	DIEXF			MTA1		TMEM61	WDR64	NR2F1	FTH1P3	HOXA11	
						DACT2	PCM1									SNRNP70	GSK3A	DNAJB3	LINC00471	TAF5L			PNMA1		CYP4Z1	C1orf131	TGFBI	GAD1	HOXA13	
						C6orf118	PDE7A									SNRPD2	GYS1	LOC643387	LOC151484	DISC2			RPS6KA5		CDCP2	EDARADD	THBS4	GALNT3	HPVC1	
						OSTCP1	PDGFRL									SPIB	HAS1	PRSS56	MSL3P1	DISC1			TRIP11		SLC5A9	MRPL55	UBE2B	GBX2	AGFG2	
						WDR27	ENPP2									AURKC	FOXA3	AQP12B	C2orf57	FLVCR1			NRXN3		CC2D1B	HIST3H2BB	UBE2D2	GCG	HSPB1	
						SHPRH	PENK									SULT2B1	HNRNPL	SCARNA6	TIGD1	CNIH4			AKAP5		PCSK9	SLC35F3	VDAC1	GCKR	HTR5A	
						PACRG-AS1	PLAG1									SULT2A1	HPN	SCARNA5	LOC200772	PYCR2			SPTLC2		CYP4X1	B3GALNT2	WNT8A	MSTN	HUS1	
						PRR18	PLAT									SYT5	HRC	MIR562	C2orf72	NENF			BAG5		CYP4A22	GCSAML	XRCC4	GFPT1	ICA1	
						LOC285804	PLEC									TNNI3	PRMT1	D2HGDH	RTP5	IL19			C14orf2		C1orf185	GCSAML-AS1	ST8SIA4	GGCX	IFRD1	
						ZC3H12D	PNOC									TNNT1	DNAJB1	LOC728323	LOC285095	G0S2			CDC42BPB		FAM151A	LINC01341	REEP5	GLI2	IGFBP1	
						NUP43	PMP2									TULP2	ICAM1	PP14571	DUSP28	IL20			TCL1B		FAM159A	EXOC8	SERF1A	GLS	IGFBP3	
						RAET1G	POLB									NR1H2	ICAM3	LOC100286922	MROH2A	RRP15			RGS6		TEX38	LOC149373	NME5	GPC1	IL6	
						SUMO4	POLR2K									VASP	ICAM4	MIR1471	ESPNL	TRIM17			SUSD6		MROH7	RNF187	ENC1	GPD2	IMPDH1	
						C6orf120	POU5F1B									ZNF8	IL11	MIR1244-1	ECEL1P2	KCTD3			KIAA0586		NSUN4	CNST	AP3B1	GPR1	INHBA	
						SAMD5	PPP2CB									ZNF17	IL12RB1	BOK-AS1	SPATA3-AS1	DTL			DLGAP5		TRABD2B	PLD5	PDLIM4	GPR17	INSIG1	
						IYD	PPP2R2A									ZNF28	ILF3	MIR1244-3	RBM44	ARID4B			FAM30A		LDLRAD1	C1orf100	PLPP1	GPR35	IRF5	
						DKFZp451B082	PPP3CC									ZNF45	INSL3	MIR1244-2	AQP12A	EGLN1			AREL1		SKINT1L	IBA57	PDE8B	GPR39	ITGB8	
						TCP10L2	PKIA									ZNF221	IRF3	MIR3133	KLHL30	MAP10			TECPR2		MGC34796	OR2T6	CDC23	GRB14	KCND2	
						LOC401286	PRKDC									ZNF222	JAK3	MIR4269	C2orf82	MARC2			GOLGA5		ZYG11A	LOC255654	P4HA2	MSH6	KCNH2	
						LINC00242	PTK2									ZNF134	JUNB	AGAP1-IT1	OR6B2	SUSD4			MED6		LURAP1	C1orf101	HSPB3	GTF3C2	KEL	
						LINC01624	PVT1									ZNF135	JUND	UBE2F-SCLY	ASB18	GPATCH2			CNIH1		CYB5RL	PGBD2	ATG12	GYPC	LAMB1	
						GTF2H5	PEX2									ZNF137P	KCNA7	MIR2467	FLJ43879	HEATR1			GPHN		SSBP3-AS1	OR2L13	NREP	HADHA	LEP	
						LINC00602	RAB2A									ZNF154	KCNC3	MIR4440	MIR149	KLHDC8A			VTI1B		NFIA-AS1	OR14A16	RAB9BP1	HADHB	LFNG	
						LOC441178	RAD21									ZNF155	KCNJ14	MIR4786	DNAJB3	TMEM206			FBLN5		FAAHP1	VN1R5	HOMER1	HDLBP	LIMK1	
						RPS18P9	RP1									ZNF175	KCNN1	MIR4441	LOC643387	YOD1			BATF		HSD52	LOC339529	MYOT	HK2	LRCH4	
						LOC645967	RPL7									ZNF180	KCNN4	MIR5001	PRSS56	BATF3			SIVA1		EFCAB14-AS1	LINC01139	SCAMP1	HNMT	MCM7	
						RAET1K	RPL8									ZNF223	KIR2DL1	CAPN10-AS1	AQP12B	SLC30A10			NPC2		LINC01135	OR6F1	CXCL14	TLX2	DNAJB9	
						AFDN-AS1	RPL30									ZNF224	KIR2DL2	LINC01237	SNORA75	IARS2			AHSA1		MIR761	OR2W3	H2AFY	HOXD1	MDH2	
						SNORA20	RPS20									ZNF225	KIR2DL3	LOC101928111	SCARNA6	HHAT			EXOC5		MIR3116-1	OR2T8	SMAD5-AS1	HOXD3	MEOX2	
						SNORA29	SDC2									ZNF226	KIR2DL4	LOC101928881	SCARNA5	ENAH			CGRRF1		MIR3116-2	OR2T3	CARTPT	HOXD4	MEST	
						KATNBL1P6	SDCBP									ZNF227	KIR2DS1	MIR6811	MIR562	NUP133			CYP46A1		MKNK1-AS1	OR2T29	SNCAIP	HOXD8	MET	
						STXBP5-AS1	SFRP1									ZNF112	KIR2DS3	LOC102723927	D2HGDH	RCOR3			PAPOLA		LOC100507564	IRF2BP2	TTC37	HOXD9	MKLN1	
						TMEM242	SFTPC									ZNF229	KIR2DS4	LINC01173	LOC728323	SERTAD4			ACOT2		LOC100507634	FAM89A	ZFYVE16	HOXD10	NUDT1	
						LOC729603	ST3GAL1									ZNF230	KIR2DS5		PP14571	ERO1B			TMED10		MROH7-TTC4	COA6	MATR3	HOXD11	MUC3A	
