cytoband	2q37.3	19q13.42	11p15.5	4q34.3	10q26.3	9p21.3	9p24.3	3q29	5q34	3p21.1	12p13.1	13q34	3p21.31	14q23.2	1q44	17q25.3	19q13.31	18q23	5p15.33	6q22.33	2p25.3	9p23	3q13.31	11q25	12q12	1p36.32	13q13.1	6q27	13q14.3	22q13.31	3p12.3	13q31.1	14q31.3	4q13.3	7p22.2	11p11.2	6q25.3	12q24.11	6p25.3	
	ING5	PPP6R1	SCT		GPR26			DLG1-AS1	DBN1	RRP9	RPL13AP20		NME6	GSTZ1	TBCE		MEGF8		TRIP13				GAP43		CCNT1			LOC102724511	LCP1	PPARA	CGGBP1	GPR18	CRIP1	GNRHR	MRM2		MAS1	EPYC	FAM50B	
	NEU4	ZIM2	TALDO1		GRK5			MIR4797	DOCK2	DCAF1	MIR613		CSPG5	HIF1A	GPR137B		ERCC1		PDCD6				GATA2		CD63				LMO7	MAPK11	CADPS	GUCY1B2	CRIP2	CXCL1	GET4		MAP3K4	DTX1	EXOC2	
	MTERF4	HSPBP1	TSPAN4		HABP2				DRD1	PARP3	MIR614		TREX1	HSPA2	ZNF124		ERCC2		MARCH6				GOLGB1		CDK2				NEK3	MAPK12	SUCLG2	ING1	DIO2	CXCL2	CYP2W1		MAP3K5	DUSP6	WRNIP1	
	RTP5	UBE2S	TNNI2		HMX2				SLC26A2	NISCH	LOC100506314		DHX30	LTBP2	KMO		ERF		SLC12A7				GP9		CNTN1				PCDH8	SBF1	UBA3	KPNA3	DIO3	CXCL3	DNAAF5		AFDN	ELK3	DUSP22	
	LOC285095	CCDC106	RASSF7		INPP5A				DUSP1	TWF2	MIR7641-2		SCAP	MAX	EXO1		FOSB		PAPD7				GPR15		COL2A1				PCDH9	SREBF2	MAGI1	IPO5	DLST	GRSF1	CHST12		MYB	HAL	SLC22A23	
	D2HGDH	EPN1	IFITM1		ABLIM1				EBF1	RAD54L2			NBEAL2	MAP3K9	GGPS1		GIPR		TPPP				GSK3B		CS				POU4F1	TCF20	PSMD6	LIG4	DYNC1H1	HTN1	FAM20C		NMBR	IGF1	FOXQ1	
	LOC728323	ZNF580	BRSK2		MGMT				F12	STAB1			KLHL18	ALDH6A1	TOMM20		GPR4		EXOC3				GTF2E1		DGKA				RB1	UPK3A	ARL6IP5	LMO7	EIF5	HTN3	MICALL2		OPRM1	LTA4H	HUS1B	
	BOK-AS1	GP6	IFITM3		MKI67				FABP6	ABHD14A			PTPN23	MNAT1	CEP170		GRIK5		CCT5				HCLS1		EIF4B				ATXN8OS	WNT7B	PDZRN3	NEK3	ELK2AP	JCHAIN	TTYH3		PARK2	LUM	LINC01600	
	MIR3133	ZNF581	DEAF1		NRAP				FAT2	POC1A			SETD2	MTHFD1	AKT3		GSK3A		FBXL7				HGD		CELA1				TPT1	CELSR1	FRMD4B	PCCA	EML1	CXCL8	PSMG3		PCMT1	KITLG	PXDC1	
	LINC01237	PPP1R12C	IFITM2		OAT				FGFR4	DNAH1			PRSS50	SIX6	ZBTB18		FOXA3		ICE1				ITGB5		ERBB3				UCHL3	PPP6R2	RYBP	PCDH8	ERH	MUC7	C7orf50		PDCD2	MSI1	SERPINB9P1	
	LOC102723927	EPS8L1	PKP3		PNLIP				FOXI1	GNL3			SHISA5	PGF	SDCCAG8		KCNN4		PP7080				KPNA1		BLOC1S1				TNFSF11	ZBED4	CHMP2B	PCDH9	ESRRB	PF4	CARD11		ENPP1	MVK	FAM217A	
		ZNF444	SIRT3		PNLIPRP1				FLT4	SPCS1			TMA7	PIGH	RBM34		LIPE		IRX4				LSAMP		GPD1				SCEL	SCO2	LRIG1	POU4F1	FOS	PF4V1	ZFAND2A		ENPP3	MYBPC1	LOC285766	
		NLRP2	BET1L		PNLIPRP2				GABRA1	RBM15B			ZNF589	PPM1A	OPN3		BCAM		TAS2R1				MCM2		NCKAP1L				SUCLA2	PKDREJ	FOXP1	DNAJC3	GALC	PPEF2	COX19		PEX7	MYF5	LINC01622	
		NAT14	CEND1		HTRA1				GABRA6	TEX264			IP6K2	PPP2R5E	TRIM58		NOVA2		FAM134B				CD200		NR4A1				DLEU2	NUP50	FEZF2	RAP2A	GSTZ1	PPBP	PSMG3-AS1		PLAGL1	MYF6	MYLK4	
		VN1R1	CDHR5		PTPRE				GABRB2	SFMBT1			NCKIPSD	PRKCH	AHCTF1		PAFAH1B3		FAM105A				MYLK		HNRNPA1				TSC22D1	RABL2B	EBLN2	ATXN8OS	GTF2A1	CXCL6	GPR146		PLG	MYL2	TUBB2B	
		ZNF304	TOLLIP		RGS10				GABRG2	PHF7			ELP6	PSEN1	OR1C1		PLAUR		NSUN2				NDUFB4		HOXC4				ITM2B	PACSIN2	SHQ1	SLC10A2	BRF1	CXCL5	AMZ1		PSMB1	NFYB	PSMG4	
		ZNF471	PIDD1		RPL21				GABRP	TLR9			KIF9	ABCD4	OR2M4		POU2F2		CEP72				PLXNA1		HOXC5				UTP14C	GRAMD4	ZNF654	SLC15A1	HSP90AA1	STATH	TMEM184A		RPS6KA2	NOS1	LINC01011	
		USP29	PNPLA2		SLC18A2				GLRA1	PBRM1			SLC26A6	RAD51B	OR2L2		PPP5C		ANKH				RHO		HOXC6				TBC1D4	TTLL12	LMOD3	TPP2	IFI27	SULT1E1	BRAT1		RPS12	NTS	HTATSF1P2	
		ZNF71	PHRF1		TCF7L2				GM2A	CHDH			LRRC2	ARID4A	OR2L1P		PSG1		AHRR				RPL24		HOXC8				LPAR6	MLC1	ADAMTS9	UCHL3	ITPK1	UGT2B4	SDK1		SGK1	OAS1	C6orf201	
		ZNF667	SIGIRR		TECTB				GRK6	IL17RB			CCDC51	RTN1	OR2T1		PSG2		MRPL36				RPN1		HOXC9				TRIM13	KIAA0930	C3orf14	ZIC2	JAG2	UGT2B7	TFAMP1		SLC22A1	OAS2	LINC00266-3	
		ZSCAN5A	RIC8A		TIAL1				GPX3	DCP1A			LRRC2-AS1	SRSF5	DESI2		PSG3		BRD9				SLC15A2		HOXC10				SPRY2	MAPK8IP2	PROK2	STK24	KLC1	UGT2B10	UNCX		SLC22A3	OAS3	KU-MEL-3	
		ZNF419	EPS8L2		UROS				GRIA1	GLT8D1			ATRIP	SIX1	SCCPDH		PSG4		FASTKD3				UPK1B		HOXC11				DLEU1	PLXNB2	THOC7	IRS2	LTBP2	UGT2B15	ELFN1		SLC22A2	PEBP1	LOC100507194	
		ISOC2	CHID1		ADAM12				GRM6	SEMA3G			UCN2	SLC8A3	ARID4B		PSG5		IRX1				UMPS		HOXC12				PIBF1	BRD1	KBTBD8	SCEL	MARK3	UGT2B17	GRIFIN		SOD2	PAH	LOC100507506	
		BRSK1	SLC25A22		UTF1				HK3	PCBP4			CCDC12	SLC10A1	KIF26B		PSG6		ZDHHC11				CNBP		HOXC13				OLFM4	ARHGAP8	SLC25A26	DLEU2	ATXN3	USO1	HRAT92		T	CDK17	GMDS-AS1	
		KMT5C	PGGHG		EIF3A				HMMR	SELK			ALS2CL	SNAPC1	HEATR1		PSG7		LPCAT1				ZNF80		IGFBP6				SUGT1	TBC1D22A	C3orf49	CLDN10	MAP3K9	SLC4A4	LOC442497		TBP	SLC25A3	MIR4645	
		FIZ1	PTDSS2		BUB3				HNRNPAB	NT5DC2			TMIE	SPTB	ZNF692		PSG9		CLPTM1L				ZNF148		ITGA5				LECT1	TTLL1	SNTN	ITGBL1	ALDH6A1	CDKL2	MIR339		TCF21	PLA2G1B	LOC101927691	
		GALP	MOB2		BAG3				HNRNPH1	WDR82			FBXW12	TGFB3	ERO1B		PSG11		ROPN1L				RAB7A		ITGA7				AKAP11	SAMM50	SYNPR	TM9SF2	NDUFB1	TMPRSS11D	LOC100129603		TCP1	PMCH	FOXCUT	
		ZNF628	SYT8		FAM53B				HRH2	ABHD14B			KIF9-AS1	ZBTB25	FMN2		PTGIR		MED10				RUVBL1		ITGB7				KLF12	ATXN10	FAM19A4	UTP14C	SERPINA5	ADAMTS3	WI2-2373I1.2		TCP10	PPP1CC	LOC101927730	
		ZNF835	ODF3		DCLRE1A				NDST1	RFT1			PRSS42	DPF3	ZNF695		PVR		NKD2				B4GALT4		KRT1				FNDC3A	FAM19A5	PPP4R2	TBC1D4	PGF	G3BP2	LOC100507642		TCTE3	PRKAB1	LOC101927759	
		RDH13	LRRC56		GLRX3				IL12B	ACTR8			PRSS45	NUMB	ZP4		NECTIN2		OTULIN				SNX4		KRT2				DIS3	SULT4A1	PRICKLE2	GPC6	SERPINA1	ENAM	MIR4648		DYNLT1	PTPN11	MIR7641-2	
		ZIM3	LOC143666		DPYSL4				ITK	GPR62			TMEM89	ADAM21	TFB2M		RELB		ZNF622				NR1I2		KRT3				MYCBP2	RIBC2	ARL13B	MBNL2	SERPINA4	UGT2B11	MIR4655		THBS2	PXN	MIR6720	
		ZNF543	SCGB1C1		TACC2				KCNMB1	IQCF1			SPINK8	ADAM20	GREM2		RTN2		EXOC3-AS1				MBD4		KRT4				ZC3H13	ARFGAP3	LINC00870	FARP1	PPP2R5C	SMR3B	LOC101926963		TNFAIP3	RFC5	LOC102724096	
		COX6B2	NLRP6		TUBGCP2				LCP2	GLYCTK			ARIH2OS	DCAF5	SMYD3		SNRPD2		CCDC127				H1FX		KRT5				LRCH1	SMC1B	CADM2	TRIM13	LGMN	NPFFR2	LOC101927000		UTRN	RFX4		
		NLRP13	LOC171391		PRDX3				LTC4S	PPM1M			NRADDP	ALKBH1	ZNF669		VASP		UBE2QL1				KALRN		KRT6A				FBXL3	RRP7A	EOGT	SPRY2	PSEN1	PPBPP2	LOC101927021		EZR	RPL6		
		NLRP8	TOLLIP-AS1		VAX1				MFAP3	TMEM110			LOC100132146	EIF2B2	ZNF672		XRCC1		C5orf49				STXBP5L		KRT6B				INTS6	MCAT	C3orf38	ABCC4	PSMC1	UGT2A1	ELFN1-AS1		VIP	RPLP0		
		NLRP5	LMNTD2		ATE1				MGAT1	IQCF2			PRSS46	PNMA1	SH3BP5L		ZNF45		FAM173B				GUCA1C		KRT7				CKAP2	PARVB	LINC00877	DLEU1	ABCD4	RUFY3	LOC101927181		EPM2A	ATXN2		
		ZNF787	CRACR2B		SEC23IP				MSX2	IQCF5			MIR1226	AKAP5	OR2L5		ZNF221		CMBL				IQCB1		KRT8				NUFIP1	NCAPH2	LINC00698	PIBF1	MOK	PARM1	MIR6836		STX7	SELPLG		
		ZFP28	TMEM80		RAB11FIP2				NPM1	MUSTN1			MIR2115	SPTLC2	OR2G3		ZNF222		PLEKHG4B				DZIP3		KRT18				PCDH17	GTSE1	EIF4E3	OLFM4	SEL1L	RCHY1	LOC102723672		PEX3	SNRPF		
		SMIM17	ANO9		INPP5F				PDE6A	IQCF3			MIR711	RGS6	OR2G2		ZNF155		C5orf38				TOMM70		KRT81				MED4	A4GALT	VGLL3	TNFSF13B	SRSF5	ANKRD17	LOC105375115		RNASET2	TBX5		
		ZNF548	KRTAP5-AS1		FAM175B				PDGFRB	MIRLET7G			PRKAR2A-AS1	SUSD6	OR2C3		ZNF180		IRX2				COX17		KRT82				DNAJC15	MOV10L1	LINC00960	SUGT1	SLC8A3	STAP1			STX11	TBX3		
		TMEM190	B4GALNT4		ATRNL1				MAPK9	MIR135A1			MIR4793	KIAA0586	EFCAB2		ZNF223		ADAMTS16				CD96		KRT83				VPS36	FAM118A	FAM19A1	LECT1	SLC10A1	SMR3A			SYNJ2	TDG		
		ZNF524	PDDC1		EDRF1				PROP1	IQCF6			MIR4443	AREL1	ZNF496		ZNF224		LINC01018				TFG		KRT84				PHF11	TTC38	STX19	SOX21	TGFB3	SULT1B1			VNN2	TMPO		
		ZNF784	KRTAP5-1		VENTX				RARS	SMIM4			FCF1P2	MED6	ZNF670		ZNF225		LINC01019				ST3GAL6		KRT85				NDFIP2	PRR34	LINC00971	KLF12	TNFAIP2	TMPRSS11E			VNN1	NR2C1		
		NLRP4	KRTAP5-3		CUZD1				RPS14	SNORD19			MIR6823	GPHN	NLRP3		ZNF226		LOC285692				POLQ		KRT86				ENOX1	MIOX	FAM86DP	DZIP1	TRAF3	UGT2B28			TAAR5	HSP90B1		
		ZNF542P	KRTAP5-4		CALY				SGCD	SNORD69			MIR6824	VTI1B	COX20		ZNF227		SLC6A19				ALDH1L1		LALBA				RCBTB1	PRR5	GXYLT2	DIS3	TSHR	ODAM			MAP7	TXNRD1		
		ZNF582	IFITM5		CHST15				SLC6A7	SNORD19B			CELSR3-AS1	BATF	OR2M5		ZNF112		LINC01020				PDIA5		MIP				NUDT15	TRMU	LOC728290	MYO16	VRK1	UBA6			LATS1	UBE2N		
		ZNF583	FAM99A		ACSL5				SLC34A1	LINC00696			SNORA94	NPC2	OR2M3		ZNF229		SLC6A18				HHLA2		MMP19				GPALPP1	SEPT3	ZNF717	MYCBP2	WARS	UTP3			TAAR2	UNG		
		ZNF579	IFITM10		ZRANB1				SLIT3	IQCF4				AHSA1	OR2T12		ZNF230		LRRC14B				FSTL1		MYL6				THSD1	PANX2	LINC00994	DOCK9	XRCC3	OPRPN			TAAR3	ALX1		
		NLRP11	MIR210		CFAP46				SNCB	ABHD14A-ACY1				ACOT2	OR14C36		SYMPK		LOC389273				FILIP1L		NELL2				CYSLTR2	PARVG	FRG2C	TGDS	YY1	UGT2A3			MED23	BRAP		
		TMEM86B	KRTAP5-5		NSMCE4A				SPARC	TMEM110-MUSTN1				TMED10	OR2T34		PGLYRP1		FLJ33360				MGLL		NFE2				SPRYD7	CERK	MIR1284	SLITRK5	DPF3	CABS1			QKI	EEA1		
		SSC5D	KRTAP5-2		CCDC186				STK10	ITIH4-AS1				C14orf1	OR2T10		ZNF235		LINC01194				COPG1		SLC11A2				KLHL1	EFCAB6	MIR1324	FBXL3	GPR68	YTHDC1			TBPL1	RASAL1		
		ZNF547	KRTAP5-6		WDR11				ZNF354A	GLYCTK-AS1				VASH1	OR2T4		TOMM40		MARCH11				MYH15		PA2G4				RBM26	CENPM	MIR3136	INTS6	TCL1A	MOB1B			WTAP	PPFIA2		
		TMEM150B	SNORA52		DHX32				TCOF1	IQCF5-AS1				ZBTB1	OR2T11		RABAC1		LOC442132				PLXND1		PCBP2				PCDH20	ALG12	MIR4272	CKAP2	GPR65	TMPRSS11B			AKAP12	MAPKAPK5		
		FAM71E2	MUC5B		PPP2R2D				TTC1	LOC101929054				SNW1	OR2B11		ZNF234		ANKRD33B				LINC01565		PDE1B				SMIM2	CRELD2	MIR4273	OXGR1	NUMB	THAP6			PHACTR2	DYNLL1		
		NLRP9	FAM99B		TDRD1				STC2	MIR8064				PCNX1	WDR64		PPP1R13L		SDHAP3				NEPRO		PFDN5				RNF219	CCDC134	MIR3923	PCDH17	ADAM21	C4orf26			BCLAF1	SRSF9		
		RFPL4A	LINC01001		BCCIP				ADAM19	SNORD136				DAAM1	EDARADD		CD3EAP		LOC728613				ABI3BP		PFKM				RNASEH2B	ADM2	PTPRG-AS1	VPS36	ADAM20	RASSF6			UST	GALNT4		
		ZSCAN5B	MIR4298		GPAM				FGF18					TTLL5	SLC35F3		CLASRP		LOC729506				NECTIN3		POU6F1				DHRS12	SCUBE1	PSMD6-AS2	PHF11	ADAM6	TECRL			CITED2	CRADD		
		DNAAF3	MIR210HG		SHTN1				SQSTM1					SYNE2	B3GALNT2		CIC		SNORD123				ZBTB20		PPP1R1A				BORA	TRABD	ADAMTS9-AS2	NDFIP2	DLK1	EPGN			HBS1L	HRK		
		ZNF773	PANO1		FAM160B1				ATP6V0E1					ANGEL1	GCSAML		FBXO46		MIR887				OR5K1		PRKAG1				RUBCNL	PNPLA3	MIR4795	BIVM	CCNK	FDCSP			PDE10A	ADAM1A		
		ZNF582-AS1	LOC101927503		PLEKHA1				PTTG1					ZFYVE26	GCSAML-AS1		ETHE1		LOC100130744				OR5H1		PRPH				TDRD3	SELO	MIR4444-1	ARGLU1	DCAF5	COX18			RAB32	LIN7A		
		TMEM238	MIR6743		FAM204A				PDLIM7					TTC9	LINC01341		PRG1		LOC100288152				FAM162A		TWF1				CDADC1	HDAC10	PRICKLE2-AS1	RCBTB1	ALKBH1	CSN1S2AP			KATNA1	SOCS2		
		ZNF470	MIR6744		LHPP				CNOT8					PLEKHG3	CNST		CBLC		MIR4277				SEC22A		RAB5B				CAB39L	LDOC1L	LINC00506	ANKRD10	EIF2B2	TMPRSS11A			FGFR1OP	RASSF9		
		ZNF749			IKZF5				HAND1					SIPA1L1	PLD5		EML2		MIR4278				ZBTB11		RARG				DIAPH3	POLDIP3	MIR5688	RAB20	MTA1	TMPRSS11F			SCAF8	CABP1		
		ZNF805			ZDHHC6				MED7					DCAF4	C1orf100		IRF2BP1		LOC100505625				MORC1		RBMS2				CCDC70	KIAA1644	MAGI1-AS1	NAXD	PNMA1	LOC401134			TAB2	WSCD2		
		ZNF772			MCMBP				ADAMTS2					PLEK2	OR2T6		ZNF285		MIR4458HG				ACAD9		RDH5				COG3	SHANK3	SYNPR-AS1	UGGT2	RPS6KA5	SYT14P1			SASH1	SART3		
		DUXA			PLEKHS1				CLINT1					TIMM9	LOC255654		LYPD3		SNHG18				KLF15		RPL41				SETDB2	TUBGCP6	CADM2-AS2	THSD1	TRIP11	TMPRSS11BNL			SYNE1	MLEC		
		SBK2			C10orf88				MAML1					MLH3	C1orf101		QPCTL		ROPN1L-AS1				GTPBP8		RPS26				EBPL	LMF2	THOC7-AS1	SPRYD7	NRXN3	PRR27			HEBP2	GIT2		
		SHISA7			LRRC27				GFPT2					KCNH5	PGBD2		PNMAL1		LOC100506688				TAGLN3		SCN8A				EPSTI1	SMDT1	PRICKLE2-AS2	KLHL1	SPTLC2	AMTN			CCDC28A	NUAK1		
		RFPL4AL1			ADGRA1				G3BP1					POMT2	OR2L13		SMG9		LINC01511				SEC61A1		PMEL				SLITRK1	RRP7BP	PRICKLE2-AS3	RBM26	BAG5	MTHFD2L			MTHFD1L	RBM19		
		MIMT1			NKX6-2				TNIP1					COQ6	OR14A16		IRGC		LOC100506858				PODXL2		SMARCC2				KCTD12	SERHL	SUCLG2-AS1	PCDH20	C14orf2	LOC441025			MOXD1	RNF10		
		ZNF667-AS1			AFAP1L2				RACK1					FCF1	VN1R5		CEACAM19		MIR4458				TRAT1		SMARCD1				ARL11	PHF21B	SAMMSON	KDELC1	CDC42BPB	UBA6-AS1			IPCEF1	NR1H4		
		SBK3			KNDC1				SLU7					RDH11	LOC339529		CD177		MIR4454				IMPG2		SP1				WDFY2	KLHDC7B	PDZRN3-AS1	CARS2	TCL1B	LOC550113			TIAM2	SH2B3		
		PEG3-AS1			MTG1				RGS14					COX16	LINC01139		PNMAL2		MIR4457				TIMMDC1		STAT2				LINC00284	TNFRSF13C	LOC101927296	RNF219	RGS6	UGT2A2			LINC01558	ARPC3		
		ZNF865			FANK1				CPLX2					DACT1	OR6F1		MARK4		MIR4637				PLA1A		SUOX				SLAIN1	FAM109B	LOC101927374	RNASEH2B	SUSD6	TMPRSS11GP			FBXO5	PLXNC1		
		LOC101928886			SYCE1				FAXDC2					ATP6V1D	OR2W3		HIF3A		MIR4636				FBXO40		TARBP2				PRR20A	NFAM1	LOC101927494	DHRS12	FAM30A	LOC728040			RGS17	TRAFD1		
		ZIM2-AS1			PRAP1				FAM114A2					JKAMP	OR2T8		ZNF574		MIR4456				SEMA5B		TMBIM6				FAM216B	PNPLA5	ADAMTS9-AS1	BORA	AREL1	FTLP10			PDE7B	ERP29		
		MIR6802			ZNF511				BTNL3					DHRS7	OR2T3		TRAPPC6A		MIR4635				WDR5B		TFCP2				LACC1	PRR34-AS1	MIR548BB	TDRD3	TECPR2	EPHA5-AS1			DLL1	CKAP4		
		MIR6804			C10orf90				LMAN2					SIX4	OR2T29		ZNF576		LOC100996325				PARP14		VDR				LINC00330	CDPF1	FOXP1-AS1	CDADC1	GOLGA5	MIR1269A			MRPL18	GCN1		
